id,age,education,employment,income,marital_status,violence
305,28,2,2,5000,1,True
306,42,0,1,5500,1,False
307,45,0,1,5500,1,False
308,25,0,1,6000,1,False
309,31,3,1,6000,1,False
310,28,3,1,6000,1,False
311,22,2,1,6000,1,False
312,27,2,1,7000,1,False
313,39,1,2,7000,1,True
314,26,3,1,8000,0,False
315,45,0,1,8000,1,False
316,48,1,1,8000,1,True
317,44,1,1,9000,1,False
318,27,3,1,10000,1,False
319,40,0,1,10000,1,False
320,30,1,1,10000,1,False
321,18,2,2,10000,0,False
322,28,3,2,12000,1,False
323,30,2,1,12000,1,False
324,35,0,1,15000,1,False
325,25,1,2,15000,1,True
326,23,2,2,15000,1,False
327,26,1,2,15000,1,False
328,26,2,1,18000,1,False
329,22,2,2,20000,1,False
330,43,3,2,22000,1,False
331,37,3,2,22000,1,False
332,35,3,2,22000,1,False
333,30,3,2,22000,1,False
334,30,3,2,22000,1,False
335,42,3,2,24000,1,False
336,40,3,2,24000,1,False
337,43,3,2,24000,1,True
338,40,3,2,25000,1,False
339,26,3,2,25000,1,False
340,29,2,2,25000,1,False
341,45,3,2,27000,1,False
342,45,3,2,28000,1,False
343,27,3,1,30000,0,False
344,26,3,2,35000,1,False
345,27,1,0,0,1,True
346,29,1,0,0,1,False
347,24,2,0,0,1,False
